"","Tubelabel_species","Health_Status","Date_Extracted","Raw_ng_ul","Extraction_physical_location","Date_Enriched","Microbe_Location","colony"
"131","052022_BEL_CBC_T3_8_PAST","Healthy","2022","4.032","UML_NARWHAL_R2_B32","11_6_2024","UML_NARWHAL_R6_B27","3_10"
"132","062019_BEL_CBC_T1_1_PAST","Healthy","2022","2.38","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35","10_30_24","all_sent_for_sequencing","1_2"
"133","062019_BEL_CBC_T1_12_PAST","Healthy","9_11_2024","1.08","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30","1_13"
"134","062019_BEL_CBC_T1_21_PAST","Healthy","8_19_2024","1.9","UML_NARWHAL_R2_B29","10_6_2024","UML_NARWHAL_R6_B30","1_21"
"135","062019_BEL_CBC_T1_22_MCAV","Healthy","11_26_2024; 2022","34.2; 6.67","UML_NARWHAL_R2_B33","11_5_2024 (from 2022 extract)","UML_NARWHAL_R6_B27","1_24"
"136","062019_BEL_CBC_T1_5_SSID","Healthy","12_2_2024","20.5","UML_NARWHAL_R2_B14","","","1_3"
"137","062019_BEL_CBC_T2_16_MCAV","Healthy","9_16_2024","3.19","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","10_9_2024","UML_NARWHAL_R6_B27","2_60"
"138","062019_BEL_CBC_T2_17_SSID","Healthy","12_4_2024","3.79","UML_NARWHAL_R2_B15","","","2_73"
"139","062019_BEL_CBC_T2_18_MCAV","Healthy","12_2_2024","1.61","UML_NARWHAL_R2_B14","","","2_69"
"140","062019_BEL_CBC_T2_18_MCAV","Healthy","2022","7.26","UML_NARWHAL_R2_B33","11_5_2024","UML_NARWHAL_R6_B27","2_69"
"141","062019_BEL_CBC_T2_2_PAST","Healthy","9_11_2024","6.77","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30","2_68"
"142","062019_BEL_CBC_T2_21_PAST","Healthy","9_16_2024","0.841","UML_NARWHAL_R2_B34, UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","11_6_2024","UML_NARWHAL_R6_B27","2_57"
"143","062019_BEL_CBC_T2_23_MCAV","Healthy","12_2_2024","3.33","UML_NARWHAL_R2_B14","","","2_55"
"144","062019_BEL_CBC_T2_23_MCAV","Healthy","2022","3.25","UML_NARWHAL_R2_B33","11_5_2024","all_sent_for_sequencing","2_55"
"145","062019_BEL_CBC_T2_25_PAST","Healthy","8_19_2024","1.88","UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30","2_63"
"146","062019_BEL_CBC_T2_26_SSID","Healthy","1_13_2025","15.1","UML_NARWHAL_R2_B15","","","2_72"
"147","062019_BEL_CBC_T3_1_MCAV","Healthy","6_13_2022","12.3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B33, UML_NARWHAL_R2_B35","10_30_24","UML_NARWHAL_R6_B27","3_2"
"148","062019_BEL_CBC_T3_16_MCAV","Healthy","2022","13.6","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","10_30_24","UML_NARWHAL_R6_B27","3_21"
"149","062019_BEL_CBC_T3_27_SSID","Healthy","12_3_2024","RECHECK","UML_NARWHAL_R2_B14","","","3_33"
"150","062019_BEL_CBC_T3_31_PAST","Healthy","2022","3.18","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B26, UML_NARWHAL_R2_B34","10_30_24","all_sent_for_sequencing","3_34"
"151","062019_BEL_CBC_T3_4_PAST","Healthy","9_11_2024","33.7","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","10_6_2024","UML_NARWHAL_R6_B30","3_6"
"152","062019_BEL_CBC_T3_5_SSID","Healthy","12_3_2024","30.6","UML_NARWHAL_R2_B14","","","3_5"
